href,title,path,region,sub_region,type,crs,base_year,year_range,cellsize_cm,gsd,s3,https,collection_id,collection_title,collection_description,license,links_count
./waikato/waikato_2023-2024_0.3m/rgbnir/2193/collection.json,Waikato 0.3m Near-Infrared Aerial Photos (2023-2024),waikato/waikato_2023-2024_0.3m,waikato,waikato,rgbnir,2193,2023,2023-2024,30.0,0.3m,s3://nz-imagery/waikato/waikato_2023-2024_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/waikato/waikato_2023-2024_0.3m/rgbnir/2193/,01KJRMGBWD2K5S1VCYQ9T35ZR8,Waikato 0.3m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Waikato region captured in the 2023-2024 flying season.,CC-BY-4.0,574
./west-coast/grey_2025_0.075m/rgbnir/2193/collection.json,Grey 0.075m Near-Infrared Aerial Photos (2025-2026),west-coast/grey_2025_0.075m,west coast,grey,rgbnir,2193,2025,2025,7.5,0.075m,s3://nz-imagery/west-coast/grey_2025_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/west-coast/grey_2025_0.075m/rgbnir/2193/,01KMXJP8K5FD8VECAMGKE79MJE,Grey 0.075m Near-Infrared Aerial Photos (2025-2026),Near-infrared orthophotography within the West Coast region captured in the 2025-2026 flying season.,CC-BY-4.0,600
./waikato/hamilton_2023_0.05m/rgbnir/2193/collection.json,Hamilton 0.05m Near-Infrared Aerial Photos (2023),waikato/hamilton_2023_0.05m,waikato,hamilton,rgbnir,2193,2023,2023,5.0,0.05m,s3://nz-imagery/waikato/hamilton_2023_0.05m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/waikato/hamilton_2023_0.05m/rgbnir/2193/,01KNTHMKVHBGABFA9S55HJ2PDJ,Hamilton 0.05m Near-Infrared Aerial Photos (2023),Near-infrared orthophotography within the Waikato region captured in the 2023 flying season.,CC-BY-4.0,1472
./tasman/tasman_2024-2025_0.25m/rgbnir/2193/collection.json,Tasman 0.25m Near-Infrared Aerial Photos (2024-2025),tasman/tasman_2024-2025_0.25m,tasman,tasman,rgbnir,2193,2024,2024-2025,25.0,0.25m,s3://nz-imagery/tasman/tasman_2024-2025_0.25m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/tasman/tasman_2024-2025_0.25m/rgbnir/2193/,01KJRC8FHDKXT6RTTGXXMTNRJ7,Tasman 0.25m Near-Infrared Aerial Photos (2024-2025),Near-infrared orthophotography within the Tasman region captured in the 2024-2025 flying season.,CC-BY-4.0,189
./tasman/tasman_2018-2019_0.3m/rgbnir/2193/collection.json,Tasman 0.3m Near-Infrared Aerial Photos (2018-2019),tasman/tasman_2018-2019_0.3m,tasman,tasman,rgbnir,2193,2018,2018-2019,30.0,0.3m,s3://nz-imagery/tasman/tasman_2018-2019_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/tasman/tasman_2018-2019_0.3m/rgbnir/2193/,01KJTX5A5MHGHJ8DQ5BN0WCBRW,Tasman 0.3m Near-Infrared Aerial Photos (2018-2019),Near-infrared orthophotography within the Tasman region captured in the 2018-2019 flying season.,CC-BY-4.0,189
./southland/southland_2023_0.25m/rgbnir/2193/collection.json,Southland 0.25m Near-Infrared Aerial Photos (2023-2024),southland/southland_2023_0.25m,southland,southland,rgbnir,2193,2023,2023,25.0,0.25m,s3://nz-imagery/southland/southland_2023_0.25m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/southland/southland_2023_0.25m/rgbnir/2193/,01KJ8DV3625GF3PK423AZCB384,Southland 0.25m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Southland region captured in the 2023-2024 flying season.,CC-BY-4.0,576
./southland/southland-central-otago_2013-2014_0.4m/rgbnir/2193/collection.json,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),southland/southland-central-otago_2013-2014_0.4m,southland,southland central otago,rgbnir,2193,2013,2013-2014,40.0,0.4m,s3://nz-imagery/southland/southland-central-otago_2013-2014_0.4m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/southland/southland-central-otago_2013-2014_0.4m/rgbnir/2193/,01KKZCRZK0M42QBMD7204AHA57,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),Near-infrared orthophotography within the Southland region captured in the 2013-2014 flying season.,CC-BY-4.0,730
./southland/invercargill_2022_0.1m/rgbnir/2193/collection.json,Invercargill 0.1m Near-Infrared Aerial Photos (2022),southland/invercargill_2022_0.1m,southland,invercargill,rgbnir,2193,2022,2022,10.0,0.1m,s3://nz-imagery/southland/invercargill_2022_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/southland/invercargill_2022_0.1m/rgbnir/2193/,01KNNCPZ54C9TCVN414D7KWBGT,Invercargill 0.1m Near-Infrared Aerial Photos (2022),Near-infrared orthophotography within the Southland region captured in the 2022 flying season.,CC-BY-4.0,90
./otago/otago_2025_0.2m/rgbnir/2193/collection.json,Otago 0.2m Near-Infrared Aerial Photos (2025),otago/otago_2025_0.2m,otago,otago,rgbnir,2193,2025,2025,20.0,0.2m,s3://nz-imagery/otago/otago_2025_0.2m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/otago/otago_2025_0.2m/rgbnir/2193/,01KGG39F35Z7XK5BDVQX92R1TD,Otago 0.2m Near-Infrared Aerial Photos (2025),Near-infrared orthophotography within the Otago region captured in the 2025 flying season.,CC-BY-4.0,2166
./wellington/carterton_2025_0.075m/rgbnir/2193/collection.json,Carterton 0.075m Near-Infrared Aerial Photos (2025),wellington/carterton_2025_0.075m,wellington,carterton,rgbnir,2193,2025,2025,7.5,0.075m,s3://nz-imagery/wellington/carterton_2025_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/carterton_2025_0.075m/rgbnir/2193/,01KG37PX5CYCXZJNB9SC09QNCG,Carterton 0.075m Near-Infrared Aerial Photos (2025),Near-infrared orthophotography within the Wellington region captured in the 2025 flying season.,CC-BY-4.0,347
./otago/otago_2023-2024_0.2m/rgbnir/2193/collection.json,Otago 0.2m Near-Infrared Aerial Photos (2023-2024),otago/otago_2023-2024_0.2m,otago,otago,rgbnir,2193,2023,2023-2024,20.0,0.2m,s3://nz-imagery/otago/otago_2023-2024_0.2m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/otago/otago_2023-2024_0.2m/rgbnir/2193/,01KMHAQD57A6CWVB9KS7A4MSXV,Otago 0.2m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Otago region captured in the 2023-2024 flying season.,CC-BY-4.0,491
./otago/otago_2023-2024_0.1m/rgbnir/2193/collection.json,Otago 0.1m Near-Infrared Aerial Photos (2023-2024),otago/otago_2023-2024_0.1m,otago,otago,rgbnir,2193,2023,2023-2024,10.0,0.1m,s3://nz-imagery/otago/otago_2023-2024_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/otago/otago_2023-2024_0.1m/rgbnir/2193/,01KMHAGBA4HNDP6HQ1FJP9YAVT,Otago 0.1m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Otago region captured in the 2023-2024 flying season.,CC-BY-4.0,135
./northland/northland_2023-2024_0.3m/rgbnir/2193/collection.json,Northland 0.3m Near-Infrared Aerial Photos (2023-2025),northland/northland_2023-2024_0.3m,northland,northland,rgbnir,2193,2023,2023-2024,30.0,0.3m,s3://nz-imagery/northland/northland_2023-2024_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/northland/northland_2023-2024_0.3m/rgbnir/2193/,01KGG9SAAJK7EF7APBQNECZRKS,Northland 0.3m Near-Infrared Aerial Photos (2023-2025),Near-infrared orthophotography within the Northland region captured in the 2023-2025 flying season.,CC-BY-4.0,521
./wellington/hutt-city_2025_0.075m/rgbnir/2193/collection.json,Hutt City 0.075m Near-Infrared Aerial Photos (2025),wellington/hutt-city_2025_0.075m,wellington,hutt city,rgbnir,2193,2025,2025,7.5,0.075m,s3://nz-imagery/wellington/hutt-city_2025_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/hutt-city_2025_0.075m/rgbnir/2193/,01KGNS6V0XWHFWF1XJVJZXB43B,Hutt City 0.075m Near-Infrared Aerial Photos (2025),Near-infrared orthophotography within the Wellington region captured in the 2025 flying season.,CC-BY-4.0,681
./marlborough/marlborough_2023_0.25m/rgbnir/2193/collection.json,Marlborough 0.25m Near-Infrared Aerial Photos (2023-2024),marlborough/marlborough_2023_0.25m,marlborough,marlborough,rgbnir,2193,2023,2023,25.0,0.25m,s3://nz-imagery/marlborough/marlborough_2023_0.25m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/marlborough/marlborough_2023_0.25m/rgbnir/2193/,01KJ43P2PZPXQCY1S94PXQB9E1,Marlborough 0.25m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Marlborough region captured in the 2023-2024 flying season.,CC-BY-4.0,162
./marlborough/marlborough_2021-2022_0.25m/rgbnir/2193/collection.json,Marlborough 0.25m Near-Infrared Aerial Photos (2021-2022),marlborough/marlborough_2021-2022_0.25m,marlborough,marlborough,rgbnir,2193,2021,2021-2022,25.0,0.25m,s3://nz-imagery/marlborough/marlborough_2021-2022_0.25m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/marlborough/marlborough_2021-2022_0.25m/rgbnir/2193/,01KNNCZ2G4FAV9XPF83GVSB4M3,Marlborough 0.25m Near-Infrared Aerial Photos (2021-2022),Near-infrared orthophotography within the Marlborough region captured in the 2021-2022 flying season.,CC-BY-4.0,274
./manawatu-whanganui/palmerston-north_2024_0.1m/rgbnir/2193/collection.json,Palmerston North 0.1m Near-Infrared Aerial Photos (2024),manawatu-whanganui/palmerston-north_2024_0.1m,manawatu whanganui,palmerston north,rgbnir,2193,2024,2024,10.0,0.1m,s3://nz-imagery/manawatu-whanganui/palmerston-north_2024_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/manawatu-whanganui/palmerston-north_2024_0.1m/rgbnir/2193/,01KMY9R5PQ8ZV9Z3PEVK52TV48,Palmerston North 0.1m Near-Infrared Aerial Photos (2024),Near-infrared orthophotography within the Manawatū-Whanganui region captured in the 2024 flying season.,CC-BY-4.0,48
./wellington/kapiti-coast_2025_0.075m/rgbnir/2193/collection.json,Kapiti Coast 0.075m Near-Infrared Aerial Photos (2025),wellington/kapiti-coast_2025_0.075m,wellington,kapiti coast,rgbnir,2193,2025,2025,7.5,0.075m,s3://nz-imagery/wellington/kapiti-coast_2025_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/kapiti-coast_2025_0.075m/rgbnir/2193/,01KNTMEB33F55MC3ZH63JHBZH3,Kapiti Coast 0.075m Near-Infrared Aerial Photos (2025),Near-infrared orthophotography within the Wellington region captured in the 2025 flying season.,CC-BY-4.0,1065
./manawatu-whanganui/manawatu-whanganui_2026_0.1m/rgbnir/2193/collection.json,Manawatū-Whanganui 0.1m Near-Infrared Aerial Photos (2026),manawatu-whanganui/manawatu-whanganui_2026_0.1m,manawatu whanganui,manawatu whanganui,rgbnir,2193,2026,2026,10.0,0.1m,s3://nz-imagery/manawatu-whanganui/manawatu-whanganui_2026_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/manawatu-whanganui/manawatu-whanganui_2026_0.1m/rgbnir/2193/,01KMHFQ95P9CAFFE87EG4TQ3FF,Manawatū-Whanganui 0.1m Near-Infrared Aerial Photos (2026),Near-infrared orthophotography within the Manawatū-Whanganui region captured in the 2026 flying season.,CC-BY-4.0,44
